Entire Dataset 690,AUC,Accuracy,Mean,165 Datasets (CBLANE),AUC,Accuracy
wgEncodeAwgTfbsSydhHek293Elk4UcdUniPk,0.9533093572,0.8824561238,0.9386169557,wgEncodeAwgTfbsBroadDnd41CtcfUniPk,0.9843218923,0.9410436153
wgEncodeAwgTfbsSydhHepg2Irf3IggrabUniPk,0.9336716533,0.8571428657,,wgEncodeAwgTfbsBroadDnd41Ezh239875UniPk,0.9310086966,0.8512230515
wgEncodeAwgTfbsHaibK562Bcl3Pcr1xUniPk,0.9310001135,0.8601823449,,wgEncodeAwgTfbsBroadGm12878CtcfUniPk,0.9566236138,0.8930444121
wgEncodeAwgTfbsSydhGm12878Brca1a300IggmusUniPk,0.8455806971,0.7763158083,,wgEncodeAwgTfbsBroadH1hescCtcfUniPk,0.9344903827,0.8596968055
wgEncodeAwgTfbsBroadH1hescJarid1aab26049UniPk,0.9595095515,0.9154929519,,wgEncodeAwgTfbsBroadHelas3CtcfUniPk,0.9836093187,0.9380853176
wgEncodeAwgTfbsBroadHsmmEzh239875UniPk,0.933005631,0.8501945734,,wgEncodeAwgTfbsBroadHelas3Ezh239875UniPk,0.9841490984,0.9381898642
wgEncodeAwgTfbsSydhK562Tr4UcdUniPk,0.8840392828,0.7954545617,,wgEncodeAwgTfbsBroadHelas3Pol2bUniPk,0.8206244111,0.7337662578
wgEncodeAwgTfbsSydhGm12878NfyaIggmusUniPk,0.8198649883,0.7483766079,,wgEncodeAwgTfbsBroadHepg2CtcfUniPk,0.977737546,0.9226533771
wgEncodeAwgTfbsUtaH1hescCmycUniPk,0.9092318416,0.8220973611,,wgEncodeAwgTfbsBroadHepg2Ezh239875UniPk,0.9899965525,0.9602272511
wgEncodeAwgTfbsHaibA549GrPcr1xDex500pmUniPk,0.9636576176,0.8865545988,,wgEncodeAwgTfbsBroadHmecCtcfUniPk,0.9852449894,0.947586298
wgEncodeAwgTfbsSydhK562Brf2UniPk,0.9524512887,0.8895463347,,wgEncodeAwgTfbsBroadHsmmCtcfUniPk,0.9672905207,0.900191009
wgEncodeAwgTfbsSydhNt2d1Znf274UcdUniPk,0.9835526347,0.8857142925,,wgEncodeAwgTfbsBroadHsmmEzh239875UniPk,0.9558826685,0.8872801661
wgEncodeAwgTfbsSydhHelas3Bdp1UniPk,0.8008903861,0.7202380896,,wgEncodeAwgTfbsBroadHsmmtCtcfUniPk,0.9735882282,0.9206731915
wgEncodeAwgTfbsSydhK562Tf3c110UniPk,0.8494688869,0.7669172883,,wgEncodeAwgTfbsBroadHuvecCtcfUniPk,0.8242297173,0.7072165012
wgEncodeAwgTfbsSydhK562Irf1Ifna30UniPk,0.9227361679,0.8423728943,,wgEncodeAwgTfbsBroadHuvecEzh239875UniPk,0.8970764279,0.8105041981
wgEncodeAwgTfbsHaibGm12878RxraPcr1xUniPk,0.7286768556,0.677685976,,wgEncodeAwgTfbsBroadHuvecPol2bUniPk,0.9711288214,0.9102166891
wgEncodeAwgTfbsSydhGm08714Znf274UcdUniPk,0.7535334229,0.6965517402,,wgEncodeAwgTfbsBroadK562CtcfUniPk,0.9767668843,0.9251682162
wgEncodeAwgTfbsBroadDnd41Ezh239875UniPk,0.8735550642,0.7987927794,,wgEncodeAwgTfbsBroadK562Ezh239875UniPk,0.9612042904,0.8931361437
wgEncodeAwgTfbsSydhK562Bdp1UniPk,0.9316828847,0.8504273295,,wgEncodeAwgTfbsBroadK562Hdac2a300705aUniPk,0.9892482162,0.9526884556
wgEncodeAwgTfbsSydhHepg2Hsf1ForsklnUniPk,0.9012380242,0.8590909243,,wgEncodeAwgTfbsBroadK562Hdac6a301341aUniPk,0.9319248796,0.8551775813
wgEncodeAwgTfbsSydhHepg2Znf274UcdUniPk,0.9215857387,0.8429054022,,wgEncodeAwgTfbsBroadNhaCtcfUniPk,0.9833928943,0.9386028647
wgEncodeAwgTfbsBroadHelas3Ezh239875UniPk,0.9627317786,0.9003689885,,wgEncodeAwgTfbsBroadNhdfadCtcfUniPk,0.9241097569,0.8413396478
wgEncodeAwgTfbsSydhGm12878Pol3UniPk,0.9566023946,0.8910568953,,wgEncodeAwgTfbsBroadNhekCtcfUniPk,0.9690095186,0.9029227495
wgEncodeAwgTfbsSydhHelas3Brf2UniPk,0.9485336542,0.9047619104,,wgEncodeAwgTfbsBroadNhekPol2bUniPk,0.9129888415,0.8316188455
wgEncodeAwgTfbsSydhHepg2Grp20ForsklnUniPk,0.9041003585,0.8237037063,,wgEncodeAwgTfbsBroadNhlfCtcfUniPk,0.949215889,0.8778904676
wgEncodeAwgTfbsHaibH1hescFosl1sc183V0416102UniPk,0.8869696856,0.8051576018,,wgEncodeAwgTfbsBroadOsteoblCtcfUniPk,0.9722523689,0.9158266187
wgEncodeAwgTfbsSydhH1hescRfx5200401194IggrabUniPk,0.9764494896,0.9361413121,,wgEncodeAwgTfbsHaibA549Elf1V0422111Etoh02UniPk,0.9898700714,0.9591658711
wgEncodeAwgTfbsSydhK562Brf1UniPk,0.943964541,0.8696398139,,wgEncodeAwgTfbsHaibA549Fosl2V0422111Etoh02UniPk,0.8280597925,0.750954926
wgEncodeAwgTfbsSydhK562Rpc155UniPk,0.976249814,0.9436241388,,wgEncodeAwgTfbsHaibA549Foxa1V0416102Dex100nmUniPk,0.9839931726,0.9455013871
wgEncodeAwgTfbsSydhK562NelfeUniPk,0.9651988745,0.9239130616,,wgEncodeAwgTfbsHaibA549GabpV0422111Etoh02UniPk,0.9865779281,0.9485490918
wgEncodeAwgTfbsSydhK562Stat1Ifna6hUniPk,0.9000889063,0.8161209226,,wgEncodeAwgTfbsHaibA549Sin3ak20V0422111Etoh02UniPk,0.8743587732,0.7975047827
wgEncodeAwgTfbsSydhHepg2ErraForsklnUniPk,0.958245635,0.8847736716,,wgEncodeAwgTfbsHaibA549Taf1V0422111Etoh02UniPk,0.9592000246,0.8943628073
wgEncodeAwgTfbsSydhHelas3Irf3IggrabUniPk,0.8292924762,0.7111111283,,wgEncodeAwgTfbsHaibEcc1Foxa1sc6553V0416102Dm002p1hUniPk,0.9892169237,0.9612618685
wgEncodeAwgTfbsHaibGm12878Atf3Pcr1xUniPk,0.8509277105,0.7640449405,,wgEncodeAwgTfbsHaibGm12878Elf1sc631V0416101UniPk,0.9735967517,0.920003593
wgEncodeAwgTfbsSydhGm12878Zzz3UniPk,0.8050675988,0.7142857313,,wgEncodeAwgTfbsHaibGm12878GabpPcr2xUniPk,0.9518190622,0.8806749582
wgEncodeAwgTfbsSydhK562Znf274UcdUniPk,0.8640350699,0.7841409445,,wgEncodeAwgTfbsHaibGm12878P300Pcr1xUniPk,0.9826084971,0.9400048852
wgEncodeAwgTfbsSydhGm12878Tr4UniPk,0.9714983106,0.917491734,,wgEncodeAwgTfbsHaibGm12878Pax5c20Pcr1xUniPk,0.9113324285,0.8258150816
wgEncodeAwgTfbsSydhHelas3Brg1IggmusUniPk,0.9480000138,0.8521739244,,wgEncodeAwgTfbsHaibGm12878Pax5n19Pcr1xUniPk,0.9414689541,0.8718724251
wgEncodeAwgTfbsBroadK562Hdac6a301341aUniPk,0.8732106686,0.7842519879,,wgEncodeAwgTfbsHaibGm12878Taf1Pcr1xUniPk,0.8621667624,0.785394907
wgEncodeAwgTfbsHaibH1hescRxraV0416102UniPk,0.8948797584,0.8217054009,,wgEncodeAwgTfbsHaibGm12878Yy1sc281Pcr1xUniPk,0.9917119145,0.9604559541
wgEncodeAwgTfbsSydhHelas3Znf274UcdUniPk,0.9097222686,0.8191881776,,wgEncodeAwgTfbsHaibGm12891Pax5c20V0416101UniPk,0.8397994041,0.7621573806
wgEncodeAwgTfbsSydhGm12878Stat1UniPk,0.970629096,0.9139785171,,wgEncodeAwgTfbsHaibGm12892Pax5c20V0416101UniPk,0.9670053124,0.911051929
wgEncodeAwgTfbsSydhGm12878Nfe2sc22827UniPk,0.8908391595,0.7769110799,,wgEncodeAwgTfbsHaibGm12892Taf1V0416102UniPk,0.9934571385,0.9627197385
wgEncodeAwgTfbsSydhK562Atf3UniPk,0.9314152002,0.8454545736,,wgEncodeAwgTfbsHaibGm12892Yy1V0416101UniPk,0.958059907,0.8922723532
wgEncodeAwgTfbsSydhHepg2Nrf1IggrabUniPk,0.8854706883,0.788793087,,wgEncodeAwgTfbsHaibH1hescFosl1sc183V0416102UniPk,0.9431909323,0.8696824312
wgEncodeAwgTfbsUchicagoK562Ehdac8UniPk,0.8657565713,0.7719821334,,wgEncodeAwgTfbsHaibH1hescGabpPcr1xUniPk,0.9453533292,0.8679495454
wgEncodeAwgTfbsSydhHelas3Zzz3UniPk,0.8690055013,0.7796934843,,wgEncodeAwgTfbsHaibH1hescHdac2sc6296V0416102UniPk,0.9812332988,0.9333830476
wgEncodeAwgTfbsSydhHepg2Pgc1aForsklnUniPk,0.8427343369,0.7400000095,,wgEncodeAwgTfbsHaibH1hescSp1Pcr1xUniPk,0.9893041849,0.949500978
wgEncodeAwgTfbsSydhK562Pol3UniPk,0.8750169277,0.8119533658,,wgEncodeAwgTfbsHaibH1hescSp2V0422111UniPk,0.9660033584,0.9004824162
wgEncodeAwgTfbsSydhHelas3Brf1UniPk,0.8487093449,0.7608247399,,wgEncodeAwgTfbsHaibH1hescSrfPcr1xUniPk,0.9861760139,0.947188735
wgEncodeAwgTfbsSydhGm12878Znf274UniPk,0.9488791227,0.8972222209,,wgEncodeAwgTfbsHaibH1hescTead4sc101184V0422111UniPk,0.9920631647,0.9616679549
wgEncodeAwgTfbsSydhGm12878Corestsc30189IggmusUniPk,0.9654999375,0.907715559,,wgEncodeAwgTfbsHaibH1hescYy1sc281V0416102UniPk,0.9861135483,0.9452930689
wgEncodeAwgTfbsSydhHepg2Brca1a300IggrabUniPk,0.8718603849,0.7419354916,,wgEncodeAwgTfbsHaibHct116Yy1sc281V0416101UniPk,0.9511927366,0.8812877536
wgEncodeAwgTfbsSydhK562Znf274m01UcdUniPk,0.9313508868,0.8571428657,,wgEncodeAwgTfbsHaibHelas3GabpPcr1xUniPk,0.9749175906,0.9300695658
wgEncodeAwgTfbsSydhK562Stat1Ifna30UniPk,0.7850145698,0.6887323856,,wgEncodeAwgTfbsHaibHepg2Cebpbsc150V0416101UniPk,0.9209369421,0.8388997912
wgEncodeAwgTfbsBroadK562Ezh239875UniPk,0.9193452597,0.8902438879,,wgEncodeAwgTfbsHaibHepg2Elf1sc631V0416101UniPk,0.9940427542,0.96558249
wgEncodeAwgTfbsHaibHepg2Tcf12Pcr1xUniPk,0.9450842738,0.8740777969,,wgEncodeAwgTfbsHaibHepg2Fosl2V0416101UniPk,0.9891580939,0.9518963099
wgEncodeAwgTfbsSydhK562CmycIfna30UniPk,0.9405847788,0.8693130016,,wgEncodeAwgTfbsHaibHepg2Foxa1sc101058V0416101UniPk,0.944067955,0.8712171912
wgEncodeAwgTfbsHaibK562Atf3V0416101UniPk,0.9673576355,0.907661736,,wgEncodeAwgTfbsHaibHepg2Foxa1sc6553V0416101UniPk,0.8834761977,0.801638186
wgEncodeAwgTfbsHaibSknshTaf1V0416101UniPk,0.9916698337,0.9451871514,,wgEncodeAwgTfbsHaibHepg2GabpPcr2xUniPk,0.942771554,0.8701367974
wgEncodeAwgTfbsSydhMcf10aesE2f4TamHvdUniPk,0.9477847815,0.8762511611,,wgEncodeAwgTfbsHaibHepg2Hdac2sc6296V0416101UniPk,0.9235959053,0.8392499685
wgEncodeAwgTfbsSydhGm12878Tblr1ab24550IggmusUniPk,0.9241954088,0.8406034708,,wgEncodeAwgTfbsHaibHepg2JundPcr1xUniPk,0.9710993767,0.9126054645
wgEncodeAwgTfbsUtaHelas3Pol2UniPk,0.9143194556,0.835989356,,wgEncodeAwgTfbsHaibHepg2P300V0416101UniPk,0.7927072644,0.7112675905
wgEncodeAwgTfbsSydhK562Irf1Ifna6hUniPk,0.9092843533,0.819975853,,wgEncodeAwgTfbsHaibHepg2Sin3ak20Pcr1xUniPk,0.9090946317,0.8319615722
wgEncodeAwgTfbsSydhK562Irf1Ifng30UniPk,0.8475705981,0.7587652206,,wgEncodeAwgTfbsHaibHepg2Sp1Pcr1xUniPk,0.9881793261,0.943352282
wgEncodeAwgTfbsHaibGm12878Pol24h8Pcr1xUniPk,0.9775958061,0.922870934,,wgEncodeAwgTfbsHaibHepg2Sp2V0422111UniPk,0.9770475626,0.9356950521
wgEncodeAwgTfbsSydhHelas3CfosUniPk,0.9268503189,0.8429265022,,wgEncodeAwgTfbsHaibHepg2SrfV0416101UniPk,0.9073390961,0.8232931495
wgEncodeAwgTfbsSydhPbdePol2UcdUniPk,0.9124599695,0.83008039,,wgEncodeAwgTfbsHaibHepg2Taf1Pcr2xUniPk,0.9213273525,0.8522727489
wgEncodeAwgTfbsSydhK562NfybUniPk,0.9389154911,0.8577991128,,wgEncodeAwgTfbsHaibHepg2Tead4sc101184V0422111UniPk,0.9622119069,0.8956179619
wgEncodeAwgTfbsSydhK562CfosUniPk,0.8796239495,0.7881679535,,wgEncodeAwgTfbsHaibHepg2Yy1sc281V0416101UniPk,0.9705036283,0.9101347923
wgEncodeAwgTfbsSydhGm12878Chd2ab68301IggmusUniPk,0.9857721329,0.9435631037,,wgEncodeAwgTfbsHaibK562Cebpbsc150V0422111UniPk,0.8689067364,0.792108357
wgEncodeAwgTfbsHaibHepg2SrfV0416101UniPk,0.8950567245,0.8016042709,,wgEncodeAwgTfbsHaibK562Elf1sc631V0416102UniPk,0.9063861966,0.8260772824
wgEncodeAwgTfbsSydhK562Setdb1MnasedUcdUniPk,0.9530271888,0.8866581321,,wgEncodeAwgTfbsHaibK562Fosl1sc183V0416101UniPk,0.9281426072,0.8493698835
wgEncodeAwgTfbsHaibA549Sin3ak20V0422111Etoh02UniPk,0.8970960379,0.8143176436,,wgEncodeAwgTfbsHaibK562GabpV0416101UniPk,0.9799078107,0.9234065413
wgEncodeAwgTfbsSydhHelas3Elk4UcdUniPk,0.9299548864,0.8418329358,,wgEncodeAwgTfbsHaibK562Gata2sc267Pcr1xUniPk,0.9885386229,0.9517346621
wgEncodeAwgTfbsHaibT47dEralphaaV0416102Est10nm1hUniPk,0.9815371037,0.9327284694,,wgEncodeAwgTfbsHaibK562Hdac2sc6296V0416102UniPk,0.9885647297,0.9525809884
wgEncodeAwgTfbsHaibGm12891Pol24h8Pcr1xUniPk,0.9250975251,0.8363881111,,wgEncodeAwgTfbsHaibK562MaxV0416102UniPk,0.963406086,0.8969931006
wgEncodeAwgTfbsSydhA549Bhlhe40IggrabUniPk,0.8778191805,0.7927505374,,wgEncodeAwgTfbsHaibK562Sin3ak20V0416101UniPk,0.9360620975,0.8580264449
wgEncodeAwgTfbsSydhGm12878Mxi1IggmusUniPk,0.8975182772,0.807415545,,wgEncodeAwgTfbsHaibK562SrfV0416101UniPk,0.9760973454,0.9207129478
wgEncodeAwgTfbsSydhH1hescCmycIggrabUniPk,0.9153397083,0.8315004706,,wgEncodeAwgTfbsHaibK562Taf1V0416101UniPk,0.9182209373,0.8364391923
wgEncodeAwgTfbsSydhMcf10aesStat3Etoh01UniPk,0.9349469543,0.8501277566,,wgEncodeAwgTfbsHaibK562Tead4sc101184V0422111UniPk,0.9277690053,0.8466017246
wgEncodeAwgTfbsHaibH1hescYy1sc281V0416102UniPk,0.9667624831,0.9009651542,,wgEncodeAwgTfbsHaibK562Yy1V0416101UniPk,0.9511455894,0.883826673
wgEncodeAwgTfbsHaibGm12878Sp1Pcr1xUniPk,0.9617766738,0.8903966546,,wgEncodeAwgTfbsHaibK562Yy1V0416102UniPk,0.9812363982,0.9364811182
wgEncodeAwgTfbsSydhK562Stat2Ifna30UniPk,0.962456882,0.9006018043,,wgEncodeAwgTfbsHaibPanc1Sin3ak20V0416101UniPk,0.9529206753,0.8974580169
wgEncodeAwgTfbsHaibHepg2Cebpbsc150V0416101UniPk,0.9646911621,0.9052993059,,wgEncodeAwgTfbsHaibSknshraP300V0416102UniPk,0.9837656617,0.9481389523
wgEncodeAwgTfbsHaibK562Nr2f2sc271940V0422111UniPk,0.8707304001,0.7656844258,,wgEncodeAwgTfbsHaibSknshraYy1sc281V0416102UniPk,0.9524959922,0.8855645061
wgEncodeAwgTfbsUtaGm12878Pol2UniPk,0.8881438971,0.8006153703,,wgEncodeAwgTfbsHaibSknshTaf1V0416101UniPk,0.9586693048,0.8930753469
wgEncodeAwgTfbsHaibGm12878Mef2csc13268V0416101UniPk,0.8453813791,0.7469046116,,wgEncodeAwgTfbsHaibT47dFoxa1sc6553V0416102Dm002p1hUniPk,0.9165964723,0.8312712908
wgEncodeAwgTfbsSydhHepg2Tr4UcdUniPk,0.8998148441,0.8162342906,,wgEncodeAwgTfbsHaibT47dGata3sc268V0416102Dm002p1hUniPk,0.9433742166,0.870588243
wgEncodeAwgTfbsSydhHelas3Hae2f1UniPk,0.9205784202,0.8343259096,,wgEncodeAwgTfbsHaibT47dP300V0416102Dm002p1hUniPk,0.9900067449,0.9574636221
wgEncodeAwgTfbsHaibGm12878NrsfPcr1xUniPk,0.9279136062,0.8473242521,,wgEncodeAwgTfbsSydhA549CebpbIggrabUniPk,0.9553077817,0.8889787197
wgEncodeAwgTfbsSydhHelas3TbpIggrabUniPk,0.9025410414,0.8220419884,,wgEncodeAwgTfbsSydhGm10847NfkbTnfaIggrabUniPk,0.984629631,0.9392059445
wgEncodeAwgTfbsHaibGm12891Pol2Pcr1xUniPk,0.8769951463,0.7895855308,,wgEncodeAwgTfbsSydhGm12878CfosUniPk,0.9502208829,0.8827675581
wgEncodeAwgTfbsSydhHepg2Bhlhe40cIggrabUniPk,0.9648391008,0.8982456326,,wgEncodeAwgTfbsSydhGm12878JundUniPk,0.9625293016,0.8926644921
wgEncodeAwgTfbsHaibH1hescSp1Pcr1xUniPk,0.8418795466,0.7700186372,,wgEncodeAwgTfbsSydhGm12878MaxIggmusUniPk,0.9191389084,0.8375531435
wgEncodeAwgTfbsSydhHelas3Mxi1af4185IggrabUniPk,0.8647810817,0.7792411447,,wgEncodeAwgTfbsSydhGm12878NfkbTnfaIggrabUniPk,0.9447000623,0.8722001314
wgEncodeAwgTfbsHaibGm12878Egr1Pcr2xUniPk,0.8844488859,0.7994241714,,wgEncodeAwgTfbsSydhGm12878P300bUniPk,0.9259545207,0.8416087627
wgEncodeAwgTfbsHaibH1hescSp2V0422111UniPk,0.9477168322,0.8723564744,,wgEncodeAwgTfbsSydhGm12878Stat3IggmusUniPk,0.946578145,0.8719303608
wgEncodeAwgTfbsHaibHepg2NrsfV0416101UniPk,0.938808322,0.8576642275,,wgEncodeAwgTfbsSydhGm12878TbpIggmusUniPk,0.9660969377,0.9062063694
wgEncodeAwgTfbsSydhK562Gata1UcdUniPk,0.9565560818,0.8807982802,,wgEncodeAwgTfbsSydhGm12891NfkbTnfaIggrabUniPk,0.9573817253,0.8891317248
wgEncodeAwgTfbsSydhA549Pol2s2IggrabUniPk,0.9408131242,0.8733392358,,wgEncodeAwgTfbsSydhGm12892NfkbTnfaIggrabUniPk,0.9755902886,0.9215983748
wgEncodeAwgTfbsHaibGm12892Taf1V0416102UniPk,0.9640542865,0.8992314339,,wgEncodeAwgTfbsSydhGm18526NfkbTnfaIggrabUniPk,0.9758082628,0.921875
wgEncodeAwgTfbsSydhH1hescNrf1IggrabUniPk,0.8365650773,0.75,,wgEncodeAwgTfbsSydhGm19099NfkbTnfaIggrabUniPk,0.8678267598,0.7857740521
wgEncodeAwgTfbsHaibH1hescBcl11aPcr1xUniPk,0.9534936547,0.8827999234,,wgEncodeAwgTfbsSydhH1hescCebpbIggrabUniPk,0.9882903099,0.9568631649
wgEncodeAwgTfbsSydhHek293Tcf7l2UcdUniPk,0.9593886733,0.8957585692,,wgEncodeAwgTfbsSydhH1hescCtbp2UcdUniPk,0.880153656,0.7937802672
wgEncodeAwgTfbsSydhHepg2P300sc582IggrabUniPk,0.9160640836,0.8357952833,,wgEncodeAwgTfbsSydhH1hescJundIggrabUniPk,0.9663886428,0.9091265202
wgEncodeAwgTfbsSydhGm15510NfkbTnfaIggrabUniPk,0.9446789026,0.8716951609,,wgEncodeAwgTfbsSydhH1hescMaxUcdUniPk,0.8734467626,0.7879858613
wgEncodeAwgTfbsSydhK562Hmgn3UniPk,0.9528124928,0.8684820533,,wgEncodeAwgTfbsSydhH1hescSin3anb6001263IggrabUniPk,0.9774931073,0.9204112887
